Open_Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1673352000000,1329.32000000,1340.90000000,1323.07000000,1333.97000000,90717.90530000,1673366399999,120785499.62081200,101325,44935.19230000,59840551.22616400,0
1673366400000,1333.97000000,1344.04000000,1328.00000000,1339.48000000,94451.06650000,1673380799999,126111217.41645700,81029,45355.37280000,60546637.19823400,0
1673380800000,1339.48000000,1347.69000000,1333.80000000,1335.62000000,64528.65200000,1673395199999,86406345.53011100,74450,30300.25470000,40574215.35882400,0
1673395200000,1335.63000000,1341.50000000,1327.29000000,1331.07000000,60339.74360000,1673409599999,80491479.64140600,65724,28576.16040000,38129014.97795900,0
1673409600000,1331.07000000,1335.70000000,1327.19000000,1335.52000000,41489.96170000,1673423999999,55274061.58942300,59435,20487.58710000,27298404.41059800,0
1673424000000,1335.53000000,1338.20000000,1331.39000000,1336.45000000,41252.36760000,1673438399999,55078818.39801100,60355,21206.26260000,28313371.38718100,0
1673438400000,1336.44000000,1336.45000000,1321.04000000,1323.04000000,59602.28690000,1673452799999,79237408.68606000,82598,27791.41820000,36947055.38708100,0
1673452800000,1323.05000000,1345.00000000,1321.86000000,1342.92000000,83148.80810000,1673467199999,111102438.74178600,94240,42069.30900000,56205632.89933100,0
1673467200000,1342.91000000,1398.00000000,1339.43000000,1389.39000000,186632.78770000,1673481599999,253934739.37283500,172393,95463.48640000,129858413.03919100,0
1673481600000,1389.40000000,1418.77000000,1386.00000000,1400.99000000,197850.44380000,1673495999999,277195640.60704900,165102,96930.71890000,135794224.48460100,0
1673496000000,1400.99000000,1405.12000000,1393.45000000,1398.45000000,69844.99540000,1673510399999,97781543.68179400,82583,33452.62630000,46832192.55758700,0
1673510400000,1398.44000000,1403.11000000,1394.86000000,1397.78000000,81416.34520000,1673524799999,113905060.83014100,77971,40721.87020000,56970084.21717800,0
1673524800000,1397.78000000,1408.00000000,1361.92000000,1386.07000000,254028.27230000,1673539199999,353210902.95209600,237875,123488.21760000,171774835.98985900,0
1673539200000,1386.07000000,1437.60000000,1383.25000000,1425.86000000,178938.85570000,1673553599999,253287314.69068600,200072,94394.45590000,133563225.14881400,0
1673553600000,1425.86000000,1438.00000000,1414.06000000,1415.92000000,95633.53680000,1673567999999,136280385.10648300,109937,49931.49940000,71154877.30251500,0
1673568000000,1415.91000000,1418.14000000,1401.03000000,1415.01000000,79837.81180000,1673582399999,112505556.36274100,99256,42032.41050000,59235904.02237600,0
1673582400000,1415.00000000,1415.64000000,1405.40000000,1408.12000000,34175.00750000,1673596799999,48188332.80449500,59785,16321.25600000,23013777.73136600,0
