Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1683385200000,28606.62000000,28633.01000000,28300.00000000,28576.61000000,4139.09764000,1683388799999,118037748.71066950,87251,1791.78599000,51101765.33423290,0
1683388800000,28576.62000000,28713.83000000,28535.26000000,28701.53000000,2349.37683000,1683392399999,67297911.99330390,59395,1255.47123000,35962027.12330790,0
1683392400000,28701.53000000,28843.85000000,28669.48000000,28771.89000000,2266.81704000,1683395999999,65203312.53532910,51124,1141.73641000,32837328.69008570,0
1683396000000,28771.89000000,28964.00000000,28770.44000000,28912.43000000,1999.33159000,1683399599999,57748047.01755840,47999,1078.89100000,31156586.17943440,0
1683399600000,28912.43000000,28964.68000000,28840.50000000,28842.82000000,1207.70007000,1683403199999,34884638.69110780,33406,561.34557000,16216588.57335000,0
1683403200000,28842.82000000,28870.00000000,28774.57000000,28795.89000000,1131.18229000,1683406799999,32607126.86633990,29010,491.25571000,14159013.19455150,0
1683406800000,28795.90000000,28824.41000000,28642.00000000,28807.43000000,1069.95354000,1683410399999,30753696.39523190,35977,562.17666000,16157799.23352790,0
1683410400000,28807.43000000,28858.72000000,28758.44000000,28835.12000000,818.91273000,1683413999999,23600739.93662320,27106,429.96958000,12391027.16135770,0
1683414000000,28835.11000000,28880.49000000,28809.23000000,28848.20000000,701.08862000,1683417599999,20224909.58393770,22715,315.16410000,9091670.71129490,0
1683417600000,28848.19000000,28956.30000000,28791.85000000,28942.72000000,1392.95929000,1683421199999,40221089.12298170,38299,732.64839000,21154382.84276750,0
1683421200000,28942.73000000,29138.29000000,28814.48000000,28887.79000000,2426.74865000,1683424799999,70346877.49041410,57849,1261.26057000,36570186.10019050,0
1683424800000,28887.78000000,28945.48000000,28813.82000000,28816.20000000,1040.86910000,1683428399999,30055081.91892140,31817,473.22899000,13663401.52994580,0
1683428400000,28816.20000000,28845.63000000,28744.08000000,28798.56000000,1362.29961000,1683431999999,39221198.71988420,32078,756.33159000,21773669.31974460,0
1683432000000,28798.57000000,28853.28000000,28787.02000000,28840.03000000,669.57948000,1683435599999,19295738.83867600,21387,340.83554000,9822164.19564750,0
1683435600000,28840.03000000,28911.05000000,28824.88000000,28890.00000000,1109.88261000,1683439199999,32036068.84503090,31335,568.98402000,16422492.54103420,0
1683439200000,28890.00000000,28936.00000000,28851.78000000,28914.55000000,1097.17087000,1683442799999,31708994.63758590,33011,594.73531000,17188649.57133390,0
1683442800000,28914.56000000,28952.56000000,28892.04000000,28910.41000000,691.54569000,1683446399999,20000467.81019370,29546,373.97173000,10815512.30438510,0
1683446400000,28910.42000000,28960.03000000,28843.76000000,28857.06000000,902.62875000,1683449999999,26087934.55359390,27805,417.63889000,12071305.31255690,0
